test;debit cards also known as check cards do not have interest charges;['Debit', 'cards', 'check', 'cards']
test;edgea bookmakers commission also known as advantage vigorish and juice;['Edge', 'Advantage', 'vigorish', 'juice']
test;so as i said to you natural medicine is also known as holistic medicine;['natural', 'medicine', 'holistic', 'medicine']
test;if you can not find a pulse you must begin chest compression also known as heart massage;['chest', 'compression', 'heart', 'massage']
test;for a beginner the bait is often one of the hedgehog cacti also known as the echinocereanae;['bait', 'Echinocereanae']
test;the drug is variously known as crack or freebase;['drug', 'crack', 'freebase']
test;wolves hunt in groups known as packs;['Wolves', 'packs']
test;he was known as a radical reformerthinkerpolitician;['He', 'radical', 'reformer', 'thinker', 'politician']
test;sodium chloride is more commonly known as salt;['Sodium', 'chloride', 'salt']
test;christopher is commonly known as kit;['Christopher', 'Kit']
test;the disease is more commonly known as mad cow disease;['disease', 'Mad', 'Cow', 'Disease']
test;the bay is well known as a safe anchorage;['bay', 'safe', 'anchorage']
test;usenet is a collection of discussion groups known as newsgroupssentencedictcom to which anybody can subscribe;['Usenet', 'newsgroups', 'sentencedict.com']
test;janis joplin was known as the high priestess of rock;['Janis', 'Joplin', 'High', 'Priestess', 'Rock']
test;arabian jam is also known as angels hair preserve or more prosaically as carrot jam;['Arabian', 'jam', 'angels', 'carrot', 'jam']
test;the ingame microphone on kobe bryant aka the black mamba could make known the snakelike hissing sound he makes as a subtler way to tell his teammates to get him the ball;['Kobe', 'Bryant', 'Black', 'Mamba']
test;of course i know him hes henry ford aka the oil magnate;['Henry', 'Ford', 'oil', 'magnate']
test;for its part the shanghai listed aka swellfun is also a purveyor of high end spirits;['Shanghai', 'Swellfun']
test;speed play aka fartlek fartlek commonly known in the us as interval training is the swedish word for speed play;['Speed', 'play', 'Fartlek']
test;bryant aka 81 aka black aka kb 24 is the one;['Bryant', '81', 'Black', 'KB', '24']
test;i point you to arachaea aka archaebacteria and extremophiles these miraculous organisms live in ridiculously extreme climates;['Arachaea', 'Archaebacteria', 'Extremophiles']
test;sylvester stallone as barney ross aka the schizo a veteran expendable and leader of the team;['Sylvester', 'Stallone', 'Barney', 'Ross', 'Schizo']
test;genetic studies have shown that male pattern baldness aka androgenetic alopecia or common baldness is caused by a sensitivity of hair follicles to a male sex hormone;['pattern', 'baldness', 'androgenetic', 'alopecia', 'common', 'baldness']
test;in march computer hacker albert gonzalez aka soupnazi received a 20year prison sentence the most severe cybercrime punishment handed down in us history;['Albert', 'Gonzalez', 'soupnazi']
test;made from the extract of citrus aurantium aka bitter orange;['citrus', 'aurantium', 'Bitter', 'Orange']
test;according to the standard of 3 gpp wlan users authenticate and distribute keys through eap aka protocol;['EAP', 'protocol']
test;his latest film is described as a romantic comedy;['film', 'romantic', 'comedy']
test;she is described by the argive elders as speaking in riddles because they fail to understand her predictions;['Argive', 'elders', 'speaking', 'riddles']
test;the final mode is described as command mode and essentially gives command line access to the fastlynx program;['final', 'mode', 'Command', 'mode']
test;she is being treated at walton hospital where her condition is described as satisfactory;['condition', 'satisfactory']
test;the light is connected to a timer;['light', 'timer']
test;the thigh bone is connected to the hip bone;['thigh', 'bone', 'hip', 'bone']
test;the island is connected to the mainland by a causeway;['island', 'mainland']
test;the north and south of the island are linked by a narrow isthmus;['north', 'south']
test;for many years the atom was believed to be indivisible;['atom', 'indivisible']
test;dancing was believed to be sinful;['Dancing', 'sinful']
test;nicolas is called as small napoleon politician mozart and pekinese dog;['Nicolas', 'small', 'Napoleon', 'politician', 'Mozart', 'Pekinese', 'dog']
test;fleece production is the main performance of alpaca the fleece is called as soft gold;['fleece', 'soft', 'gold']
